Player,2021/22,2022/23,2023/24,2024/25,2025/26,2026/27
DJ Wilson,308493,0,0,0,0,0
Jeff Dowtin,305761,0,0,0,0,0
Trevelin Queen,303102,0,0,0,0,0
Paul Watson,303102,0,0,0,0,0
Myles Powell,300443,1576305,0,0,0,0
Jontay Porter,300000,0,0,0,0,0
Mason Jones,295125,1576305,0,0,0,0
Eugene Omoruyi,281831,0,0,0,0,0
Brandon Knight,274672,0,0,0,0,0
Justin Robinson,265953,0,0,0,0,0
Ja'Vonte Smart,265878,1576305,0,0,0,0
Mychal Mulder,257902,0,0,0,0,0
Tyler Johnson,257418,0,0,0,0,0
Cassius Stanley,256734,0,0,0,0,0
Zylan Cheatham,256734,0,0,0,0,0
Devon Dotson,239291,0,0,0,0,0
Olivier Sarr,236633,1576305,0,0,0,0
Marcus Garrett,236632,0,0,0,0,0
Lindell Wigginton,233973,0,0,0,0,0
Jay Huff,225997,0,0,0,0,0
Aaron Henry,223338,0,0,0,0,0
Freddie Gillespie,221156,0,0,0,0,0
JaQuori McLaughlin,220679,0,0,0,0,0
Tacko Fall,218021,0,0,0,0,0
Petr Cornelie,218021,0,0,0,0,0
Damyean Dotson,205662,0,0,0,0,0
Xavier Moon,202069,0,0,0,0,0
Tyrone Wallace,198760,0,0,0,0,0
Juwan Morgan,191860,0,0,0,0,0
Norvel Pelle,191860,0,0,0,0,0
Rayjon Tucker,191860,0,0,0,0,0
Tremont Waters,191860,0,0,0,0,0
Brandon Williams,180798,1576305,0,0,0,0
Moses Wright,172821,0,0,0,0,0
DeJon Jarreau,172821,0,0,0,0,0
Dakota Mathias,171156,0,0,0,0,0
Matt Mooney,171156,0,0,0,0,0
Daulton Hommes,167504,0,0,0,0,0
Grant Riller,162186,0,0,0,0,0
Lindy Waters III,159527,1576305,0,0,0,0
Joe Johnson,151821,0,0,0,0,0
CJ Miles,151821,0,0,0,0,0
Ersan Ilyasova,151821,0,0,0,0,0
Darren Collison,151821,0,0,0,0,0
Anthony Tolliver,151821,0,0,0,0,0
Chaundee Brown,146234,0,0,0,0,0
Xavier Sneed,146233,0,0,0,0,0
Mario Chalmers,138019,0,0,0,0,0
Anthony Lamb,136095,0,0,0,0,0
Troy Williams,122741,0,0,0,0,0
Feron Hunt,116987,0,0,0,0,0
Matt Ryan,111669,0,0,0,0,0
Emmanuel Mudiay,111457,0,0,0,0,0
Mac McClung,106352,0,0,0,0,0
Carlik Jones,106352,0,0,0,0,0
Braxton Key,106352,0,0,0,0,0
Hassani Gravett,106352,0,0,0,0,0
Paris Bass,106352,0,0,0,0,0
Jordan Bell,102831,0,0,0,0,0
Cheick Diallo,102831,0,0,0,0,0
DJ Stewart,101034,0,0,0,0,0
Derrick Walton,95930,0,0,0,0,0
DaQuan Jeffries,95930,0,0,0,0,0
Justin James,95930,0,0,0,0,0
Jaylen Hoard,95930,0,0,0,0,0
Scotty Hopson,95930,0,0,0,0,0
BJ Johnson,95930,0,0,0,0,0
Jaylen Morris,95930,0,0,0,0,0
Demetrius Jackson,92857,92857,92857,0,0,0
Chris Clemons,85578,0,0,0,0,0
Cameron Oliver,85578,0,0,0,0,0
Malik Newman,85578,0,0,0,0,0
George King,85578,0,0,0,0,0
Nate Hinton,85578,0,0,0,0,0
Reggie Perry,85578,0,0,0,0,0
Jemerrio Jones,85578,0,0,0,0,0
Emanuel Terry,85578,0,0,0,0,0
Jared Harper,85081,0,0,0,0,0
Gabriel Lundberg,79764,0,0,0,0,0
Anthony Barber,53176,0,0,0,0,0
Malik Ellison,53176,0,0,0,0,0
Justin Tillman,53176,0,0,0,0,0
Tre Scott,53176,0,0,0,0,0
Jaysean Paige,53176,0,0,0,0,0
Trayvon Palmer,53176,0,0,0,0,0
Micah Potter,53176,0,0,0,0,0
Ahmad Caver,53176,0,0,0,0,0
Shaq Buchanan,53176,0,0,0,0,0
Jon Teske,53176,0,0,0,0,0
Aric Holman,53176,0,0,0,0,0
Javin DeLaurier,53176,0,0,0,0,0
Tyler Hall,53176,0,0,0,0,0
Rob Edwards,53176,0,0,0,0,0
Aleem Ford,53176,0,0,0,0,0
MJ Walker,53176,0,0,0,0,0
Jarron Cumberland,53176,0,0,0,0,0
Cameron McGriff,53176,0,0,0,0,0
Ade Murkey,53176,0,0,0,0,0
Jaime Echenique,53176,0,0,0,0,0
Jordan Goodwin,53176,0,0,0,0,0
Jordan Schakel,53176,0,0,0,0,0
Craig Sword,53176,0,0,0,0,0
